Processing 2x2 minors...
Matrix size: 8x8
Total minors: 784
Rows: 0 1 | Cols: 0 1 | Det: 385
Rows: 0 3 | Cols: 6 7 | Det: 1481
Rows: 0 4 | Cols: 0 1 | Det: 824
Rows: 0 4 | Cols: 0 2 | Det: -5131
Rows: 0 4 | Cols: 0 3 | Det: -5985
Rows: 0 4 | Cols: 0 4 | Det: -3158
Rows: 0 4 | Cols: 0 5 | Det: -4935
Rows: 0 4 | Cols: 0 6 | Det: -4867
Rows: 0 4 | Cols: 0 7 | Det: -7027
Rows: 0 4 | Cols: 1 2 | Det: -4895
Rows: 0 4 | Cols: 1 3 | Det: -5341
Rows: 0 4 | Cols: 1 4 | Det: -3222
Rows: 0 4 | Cols: 1 5 | Det: -4563
Rows: 0 4 | Cols: 1 6 | Det: -4431
Rows: 0 4 | Cols: 1 7 | Det: -6055
Rows: 0 4 | Cols: 2 3 | Det: -2296
Rows: 0 4 | Cols: 2 4 | Det: 1303
Rows: 0 4 | Cols: 2 5 | Det: -903
Rows: 0 4 | Cols: 2 6 | Det: -1321
Rows: 0 4 | Cols: 2 7 | Det: -4040
Rows: 0 4 | Cols: 3 4 | Det: 2933
Rows: 0 4 | Cols: 3 5 | Det: 1155
Rows: 0 4 | Cols: 3 6 | Det: 637
Rows: 0 4 | Cols: 3 7 | Det: -1568
Rows: 0 4 | Cols: 4 5 | Det: -1809
Rows: 0 4 | Cols: 4 6 | Det: -2049
Rows: 0 4 | Cols: 4 7 | Det: -4271
Rows: 0 4 | Cols: 5 6 | Det: -414
Rows: 0 4 | Cols: 5 7 | Det: -2649
Rows: 0 4 | Cols: 6 7 | Det: -2023
Rows: 0 5 | Cols: 0 1 | Det: 88
Rows: 0 5 | Cols: 0 2 | Det: -4230
Rows: 0 5 | Cols: 0 3 | Det: -4066
Rows: 0 5 | Cols: 0 4 | Det: -2676
Rows: 0 5 | Cols: 0 5 | Det: -4345
Rows: 0 5 | Cols: 0 6 | Det: -3611
Rows: 0 5 | Cols: 0 7 | Det: -4928
Rows: 0 5 | Cols: 1 2 | Det: -806
Rows: 0 5 | Cols: 1 3 | Det: -834
Rows: 0 5 | Cols: 1 4 | Det: -524
Rows: 0 5 | Cols: 1 5 | Det: -781
Rows: 0 5 | Cols: 1 6 | Det: -711
Rows: 0 5 | Cols: 1 7 | Det: -968
Rows: 0 5 | Cols: 2 3 | Det: 2848
Rows: 0 5 | Cols: 2 4 | Det: 678
Rows: 0 5 | Cols: 2 5 | Det: -2255
Rows: 0 5 | Cols: 2 6 | Det: 1103
Rows: 0 5 | Cols: 2 7 | Det: 1394
Rows: 0 5 | Cols: 3 4 | Det: -1150
Rows: 0 5 | Cols: 3 5 | Det: -5093
Rows: 0 5 | Cols: 3 6 | Det: -1371
Rows: 0 5 | Cols: 3 7 | Det: -1978
Rows: 0 5 | Cols: 4 5 | Det: -2123
Rows: 0 5 | Cols: 4 6 | Det: 119
Rows: 0 5 | Cols: 4 7 | Det: 92
Rows: 0 5 | Cols: 5 6 | Det: 3058
Rows: 0 5 | Cols: 5 7 | Det: 4059
Rows: 0 5 | Cols: 6 7 | Det: -95
Rows: 0 6 | Cols: 0 1 | Det: 67
Rows: 0 6 | Cols: 0 2 | Det: 506
Rows: 0 6 | Cols: 0 3 | Det: -444
Rows: 0 6 | Cols: 0 4 | Det: 380
Rows: 0 6 | Cols: 0 5 | Det: -102
Rows: 0 6 | Cols: 0 6 | Det: -639
Rows: 0 6 | Cols: 0 7 | Det: -346
Rows: 0 6 | Cols: 1 2 | Det: -327
Rows: 0 6 | Cols: 1 3 | Det: -431
Rows: 0 6 | Cols: 1 4 | Det: -213
Rows: 0 6 | Cols: 1 5 | Det: -348
Rows: 0 6 | Cols: 1 6 | Det: -379
Rows: 0 6 | Cols: 1 7 | Det: -475
Rows: 0 6 | Cols: 2 3 | Det: -5422
Rows: 0 6 | Cols: 2 4 | Det: 246
Rows: 0 6 | Cols: 2 5 | Det: -3126
Rows: 0 6 | Cols: 2 6 | Det: -5981
Rows: 0 6 | Cols: 2 7 | Det: -5276
Rows: 0 6 | Cols: 3 4 | Det: 3856
Rows: 0 6 | Cols: 3 5 | Det: 1650
Rows: 0 6 | Cols: 3 6 | Det: -1599
Rows: 0 6 | Cols: 3 7 | Det: 922
Rows: 0 6 | Cols: 4 5 | Det: -2298
Rows: 0 6 | Cols: 4 6 | Det: -4181
Rows: 0 6 | Cols: 4 7 | Det: -3794
Rows: 0 6 | Cols: 5 6 | Det: -2742
Rows: 0 6 | Cols: 5 7 | Det: -1074
Rows: 0 6 | Cols: 6 7 | Det: 2573
Rows: 0 7 | Cols: 0 1 | Det: 608
Rows: 0 7 | Cols: 0 2 | Det: -5387
Rows: 0 7 | Cols: 0 3 | Det: -6224
Rows: 0 7 | Cols: 0 4 | Det: -2533
Rows: 0 7 | Cols: 0 5 | Det: -5086
Rows: 0 7 | Cols: 0 6 | Det: -4144
Rows: 0 7 | Cols: 0 7 | Det: -6423
Rows: 0 7 | Cols: 1 2 | Det: -3735
Rows: 0 7 | Cols: 1 3 | Det: -4080
Rows: 0 7 | Cols: 1 4 | Det: -2393
Rows: 0 7 | Cols: 1 5 | Det: -3478
Rows: 0 7 | Cols: 1 6 | Det: -3312
Rows: 0 7 | Cols: 1 7 | Det: -4563
Rows: 0 7 | Cols: 2 3 | Det: -2085
Rows: 0 7 | Cols: 2 4 | Det: 5642
Rows: 0 7 | Cols: 2 5 | Det: -428
Rows: 0 7 | Cols: 2 6 | Det: 3888
Rows: 0 7 | Cols: 2 7 | Det: 972
Rows: 0 7 | Cols: 3 4 | Det: 7499
Rows: 0 7 | Cols: 3 5 | Det: 1474
Rows: 0 7 | Cols: 3 6 | Det: 6096
Rows: 0 7 | Cols: 3 7 | Det: 3609
Rows: 0 7 | Cols: 4 5 | Det: -5528
Rows: 0 7 | Cols: 4 6 | Det: -2512
Rows: 0 7 | Cols: 4 7 | Det: -6270
Rows: 0 7 | Cols: 5 6 | Det: 4000
Rows: 0 7 | Cols: 5 7 | Det: 1428
Rows: 0 7 | Cols: 6 7 | Det: -3888
Rows: 1 2 | Cols: 0 1 | Det: 3718
Rows: 1 2 | Cols: 0 2 | Det: -272
Rows: 1 2 | Cols: 0 3 | Det: -1056
Rows: 1 2 | Cols: 0 4 | Det: 820
Rows: 1 2 | Cols: 0 5 | Det: 388
Rows: 1 2 | Cols: 0 6 | Det: 352
Rows: 1 2 | Cols: 0 7 | Det: 2748
Rows: 1 2 | Cols: 1 2 | Det: -5612
Rows: 1 2 | Cols: 1 3 | Det: -8228
Rows: 1 2 | Cols: 1 4 | Det: -906
Rows: 1 2 | Cols: 1 5 | Det: -3258
Rows: 1 2 | Cols: 1 6 | Det: -1595
Rows: 1 2 | Cols: 1 7 | Det: -4868
Rows: 1 2 | Cols: 2 3 | Det: -992
Rows: 1 2 | Cols: 2 4 | Det: 1304
Rows: 1 2 | Cols: 2 5 | Det: 824
Rows: 1 2 | Cols: 2 6 | Det: 648
Rows: 1 2 | Cols: 2 7 | Det: 4504
Rows: 1 2 | Cols: 3 4 | Det: 2072
Rows: 1 2 | Cols: 3 5 | Det: 1784
Rows: 1 2 | Cols: 3 6 | Det: 1232
Rows: 1 2 | Cols: 3 7 | Det: 7464
Rows: 1 2 | Cols: 4 5 | Det: -624
Rows: 1 2 | Cols: 4 6 | Det: -266
Rows: 1 2 | Cols: 4 7 | Det: -404
Rows: 1 2 | Cols: 5 6 | Det: 142
Rows: 1 2 | Cols: 5 7 | Det: 1900
Rows: 1 2 | Cols: 6 7 | Det: 718
Rows: 1 3 | Cols: 0 1 | Det: 1188
Rows: 1 3 | Cols: 0 2 | Det: 740
Rows: 1 3 | Cols: 0 3 | Det: -2024
Rows: 1 3 | Cols: 0 4 | Det: 1436
Rows: 1 3 | Cols: 0 5 | Det: -800
Rows: 1 3 | Cols: 0 6 | Det: 572
Rows: 1 3 | Cols: 0 7 | Det: -288
Rows: 1 3 | Cols: 1 2 | Det: -1173
Rows: 1 3 | Cols: 1 3 | Det: -3894
Rows: 1 3 | Cols: 1 4 | Det: 591
Rows: 1 3 | Cols: 1 5 | Det: -1734
Rows: 1 3 | Cols: 1 6 | Det: -165
Rows: 1 3 | Cols: 1 7 | Det: -2430
Rows: 1 3 | Cols: 2 3 | Det: -4424
Rows: 1 3 | Cols: 2 4 | Det: 1786
Rows: 1 3 | Cols: 2 5 | Det: -1870
Rows: 1 3 | Cols: 2 6 | Det: 462
Rows: 1 3 | Cols: 2 7 | Det: -1798
Rows: 1 3 | Cols: 3 4 | Det: 3700
Rows: 1 3 | Cols: 3 5 | Det: 332
Rows: 1 3 | Cols: 3 6 | Det: 2156
Rows: 1 3 | Cols: 3 7 | Det: 3196
Rows: 1 3 | Cols: 4 5 | Det: -1698
Rows: 1 3 | Cols: 4 6 | Det: -484
Rows: 1 3 | Cols: 4 7 | Det: -2794
Rows: 1 3 | Cols: 5 6 | Det: 946
Rows: 1 3 | Cols: 5 7 | Det: 1216
Rows: 1 3 | Cols: 6 7 | Det: -1210
Rows: 1 4 | Cols: 0 1 | Det: 242
Rows: 1 4 | Cols: 0 2 | Det: -2204
Rows: 1 4 | Cols: 0 3 | Det: -5412
Rows: 1 4 | Cols: 0 4 | Det: 1444
Rows: 1 4 | Cols: 0 5 | Det: -1104
Rows: 1 4 | Cols: 0 6 | Det: 264
Rows: 1 4 | Cols: 0 7 | Det: -5512
Rows: 1 4 | Cols: 1 2 | Det: -2005
Rows: 1 4 | Cols: 1 3 | Det: -4543
Rows: 1 4 | Cols: 1 4 | Det: 984
Rows: 1 4 | Cols: 1 5 | Det: -1059
Rows: 1 4 | Cols: 1 6 | Det: 77
Rows: 1 4 | Cols: 1 7 | Det: -4585
Rows: 1 4 | Cols: 2 3 | Det: -3464
Rows: 1 4 | Cols: 2 4 | Det: 3002
Rows: 1 4 | Cols: 2 5 | Det: 498
Rows: 1 4 | Cols: 2 6 | Det: 1486
Rows: 1 4 | Cols: 2 7 | Det: -3910
Rows: 1 4 | Cols: 3 4 | Det: 5102
Rows: 1 4 | Cols: 3 5 | Det: 2958
Rows: 1 4 | Cols: 3 6 | Det: 3234
Rows: 1 4 | Cols: 3 7 | Det: -938
Rows: 1 4 | Cols: 4 5 | Det: -1830
Rows: 1 4 | Cols: 4 6 | Det: -614
Rows: 1 4 | Cols: 4 7 | Det: -4946
Rows: 1 4 | Cols: 5 6 | Det: 804
Rows: 1 4 | Cols: 5 7 | Det: -3204
Rows: 1 4 | Cols: 6 7 | Det: -3248
Rows: 1 5 | Cols: 0 1 | Det: -1716
Rows: 1 5 | Cols: 0 2 | Det: -2328
Rows: 1 5 | Cols: 0 3 | Det: -2024
Rows: 1 5 | Cols: 0 4 | Det: 536
Rows: 1 5 | Cols: 0 5 | Det: -2372
Rows: 1 5 | Cols: 0 6 | Det: 1012
Rows: 1 5 | Cols: 0 7 | Det: -2232
Rows: 1 5 | Cols: 1 2 | Det: 750
Rows: 1 5 | Cols: 1 3 | Det: 1914
Rows: 1 5 | Cols: 1 4 | Det: 1104
Rows: 1 5 | Cols: 1 5 | Det: -141
Rows: 1 5 | Cols: 1 6 | Det: 1617
Rows: 1 5 | Cols: 1 7 | Det: 1524
Rows: 1 5 | Cols: 2 3 | Det: 1712
Rows: 1 5 | Cols: 2 4 | Det: 1732
Rows: 1 5 | Cols: 2 5 | Det: -1228
Rows: 1 5 | Cols: 2 6 | Det: 2636
Rows: 1 5 | Cols: 2 7 | Det: 1092
Rows: 1 5 | Cols: 3 4 | Det: 1900
Rows: 1 5 | Cols: 3 5 | Det: -2812
Rows: 1 5 | Cols: 3 6 | Det: 3036
Rows: 1 5 | Cols: 3 7 | Det: -692
Rows: 1 5 | Cols: 4 5 | Det: -1482
Rows: 1 5 | Cols: 4 6 | Det: 146
Rows: 1 5 | Cols: 4 7 | Det: -1912
Rows: 1 5 | Cols: 5 6 | Det: 2152
Rows: 1 5 | Cols: 5 7 | Det: 2290
Rows: 1 5 | Cols: 6 7 | Det: -3002
Rows: 1 6 | Cols: 0 1 | Det: -99
Rows: 1 6 | Cols: 0 2 | Det: 3652
Rows: 1 6 | Cols: 0 3 | Det: 396
Rows: 1 6 | Cols: 0 4 | Det: 2838
Rows: 1 6 | Cols: 0 5 | Det: 1650
Rows: 1 6 | Cols: 0 6 | Det: -22
Rows: 1 6 | Cols: 0 7 | Det: 1166
Rows: 1 6 | Cols: 1 2 | Det: 2883
Rows: 1 6 | Cols: 1 3 | Det: 495
Rows: 1 6 | Cols: 1 4 | Det: 2169
Rows: 1 6 | Cols: 1 5 | Det: 1332
Rows: 1 6 | Cols: 1 6 | Det: 33
Rows: 1 6 | Cols: 1 7 | Det: 1059
Rows: 1 6 | Cols: 2 3 | Det: -6728
Rows: 1 6 | Cols: 2 4 | Det: 2634
Rows: 1 6 | Cols: 2 5 | Det: -1086
Rows: 1 6 | Cols: 2 6 | Det: -1858
Rows: 1 6 | Cols: 2 7 | Det: -5110
Rows: 1 6 | Cols: 3 4 | Det: 5514
Rows: 1 6 | Cols: 3 5 | Det: 2922
Rows: 1 6 | Cols: 3 6 | Det: -242
Rows: 1 6 | Cols: 3 7 | Det: 1594
Rows: 1 6 | Cols: 4 5 | Det: -2034
Rows: 1 6 | Cols: 4 6 | Det: -1428
Rows: 1 6 | Cols: 4 7 | Det: -4812
Rows: 1 6 | Cols: 5 6 | Det: -846
Rows: 1 6 | Cols: 5 7 | Det: -1962
Rows: 1 6 | Cols: 6 7 | Det: 624
Rows: 1 7 | Cols: 0 1 | Det: -341
Rows: 1 7 | Cols: 0 2 | Det: -3952
Rows: 1 7 | Cols: 0 3 | Det: -7084
Rows: 1 7 | Cols: 0 4 | Det: 2854
Rows: 1 7 | Cols: 0 5 | Det: -2522
Rows: 1 7 | Cols: 0 6 | Det: 1738
Rows: 1 7 | Cols: 0 7 | Det: -4530
Rows: 1 7 | Cols: 1 2 | Det: -2468
Rows: 1 7 | Cols: 1 3 | Det: -4631
Rows: 1 7 | Cols: 1 4 | Det: 2280
Rows: 1 7 | Cols: 1 5 | Det: -1566
Rows: 1 7 | Cols: 1 6 | Det: 1474
Rows: 1 7 | Cols: 1 7 | Det: -2762
Rows: 1 7 | Cols: 2 3 | Det: -2400
Rows: 1 7 | Cols: 2 4 | Det: 5768
Rows: 1 7 | Cols: 2 5 | Det: 104
Rows: 1 7 | Cols: 2 6 | Det: 4504
Rows: 1 7 | Cols: 2 7 | Det: 776
Rows: 1 7 | Cols: 3 4 | Det: 8606
Rows: 1 7 | Cols: 3 5 | Det: 1718
Rows: 1 7 | Cols: 3 6 | Det: 7018
Rows: 1 7 | Cols: 3 7 | Det: 4142
Rows: 1 7 | Cols: 4 5 | Det: -3756
Rows: 1 7 | Cols: 4 6 | Det: -716
Rows: 1 7 | Cols: 4 7 | Det: -7172
Rows: 1 7 | Cols: 5 6 | Det: 2920
Rows: 1 7 | Cols: 5 7 | Det: 376
Rows: 1 7 | Cols: 6 7 | Det: -5504
Rows: 2 3 | Cols: 0 1 | Det: -2894
Rows: 2 3 | Cols: 0 2 | Det: 550
Rows: 2 3 | Cols: 0 3 | Det: 132
Rows: 2 3 | Cols: 0 4 | Det: -158
Rows: 2 3 | Cols: 0 5 | Det: -680
Rows: 2 3 | Cols: 0 6 | Det: -86
Rows: 2 3 | Cols: 0 7 | Det: -2616
Rows: 2 3 | Cols: 1 2 | Det: 6210
Rows: 2 3 | Cols: 1 3 | Det: 2648
Rows: 2 3 | Cols: 1 4 | Det: 3320
Rows: 2 3 | Cols: 1 5 | Det: 478
Rows: 2 3 | Cols: 1 6 | Det: 2265
Rows: 2 3 | Cols: 1 7 | Det: 1192
Rows: 2 3 | Cols: 2 3 | Det: -220
Rows: 2 3 | Cols: 2 4 | Det: -970
Rows: 2 3 | Cols: 2 5 | Det: -1550
Rows: 2 3 | Cols: 2 6 | Det: -615
Rows: 2 3 | Cols: 2 7 | Det: -5840
Rows: 2 3 | Cols: 3 4 | Det: -296
Rows: 2 3 | Cols: 3 5 | Det: -644
Rows: 2 3 | Cols: 3 6 | Det: -182
Rows: 2 3 | Cols: 3 7 | Det: -2448
Rows: 2 3 | Cols: 4 5 | Det: -754
Rows: 2 3 | Cols: 4 6 | Det: 25
Rows: 2 3 | Cols: 4 7 | Det: -2936
Rows: 2 3 | Cols: 5 6 | Det: 518
Rows: 2 3 | Cols: 5 7 | Det: -152
Rows: 2 3 | Cols: 6 7 | Det: -2012
Rows: 2 4 | Cols: 0 1 | Det: -7168
Rows: 2 4 | Cols: 0 2 | Det: -370
Rows: 2 4 | Cols: 0 3 | Det: -150
Rows: 2 4 | Cols: 0 4 | Det: -1012
Rows: 2 4 | Cols: 0 5 | Det: -1210
Rows: 2 4 | Cols: 0 6 | Det: -580
Rows: 2 4 | Cols: 0 7 | Det: -7626
Rows: 2 4 | Cols: 1 2 | Det: 5950
Rows: 2 4 | Cols: 1 3 | Det: 3962
Rows: 2 4 | Cols: 1 4 | Det: 4844
Rows: 2 4 | Cols: 1 5 | Det: 3766
Rows: 2 4 | Cols: 1 6 | Det: 3612
Rows: 2 4 | Cols: 1 7 | Det: -3290
Rows: 2 4 | Cols: 2 3 | Det: 80
Rows: 2 4 | Cols: 2 4 | Det: -590
Rows: 2 4 | Cols: 2 5 | Det: -810
Rows: 2 4 | Cols: 2 6 | Det: -295
Rows: 2 4 | Cols: 2 7 | Det: -6500
Rows: 2 4 | Cols: 3 4 | Det: -458
Rows: 2 4 | Cols: 3 5 | Det: -590
Rows: 2 4 | Cols: 3 6 | Det: -245
Rows: 2 4 | Cols: 3 7 | Det: -4284
Rows: 2 4 | Cols: 4 5 | Det: -286
Rows: 2 4 | Cols: 4 6 | Det: 118
Rows: 2 4 | Cols: 4 7 | Det: -5618
Rows: 2 4 | Cols: 5 6 | Det: 305
Rows: 2 4 | Cols: 5 7 | Det: -4562
Rows: 2 4 | Cols: 6 7 | Det: -4109
Rows: 2 5 | Cols: 0 1 | Det: -6448
Rows: 2 5 | Cols: 0 2 | Det: -532
Rows: 2 5 | Cols: 0 3 | Det: 804
Rows: 2 5 | Cols: 0 4 | Det: -1048
Rows: 2 5 | Cols: 0 5 | Det: -1570
Rows: 2 5 | Cols: 0 6 | Det: -130
Rows: 2 5 | Cols: 0 7 | Det: -5160
Rows: 2 5 | Cols: 1 2 | Det: 4268
Rows: 2 5 | Cols: 1 3 | Det: 8676
Rows: 2 5 | Cols: 1 4 | Det: 3608
Rows: 2 5 | Cols: 1 5 | Det: 766
Rows: 2 5 | Cols: 1 6 | Det: 5382
Rows: 2 5 | Cols: 1 7 | Det: 6296
Rows: 2 5 | Cols: 2 3 | Det: 1248
Rows: 2 5 | Cols: 2 4 | Det: -396
Rows: 2 5 | Cols: 2 5 | Det: -976
Rows: 2 5 | Cols: 2 6 | Det: 358
Rows: 2 5 | Cols: 2 7 | Det: -2896
Rows: 2 5 | Cols: 3 4 | Det: -1860
Rows: 2 5 | Cols: 3 5 | Det: -2208
Rows: 2 5 | Cols: 3 6 | Det: -846
Rows: 2 5 | Cols: 3 7 | Det: -7728
Rows: 2 5 | Cols: 4 5 | Det: -754
Rows: 2 5 | Cols: 4 6 | Det: 802
Rows: 2 5 | Cols: 4 7 | Det: -1864
Rows: 2 5 | Cols: 5 6 | Det: 1295
Rows: 2 5 | Cols: 5 7 | Det: 920
Rows: 2 5 | Cols: 6 7 | Det: -4180
Rows: 2 6 | Cols: 0 1 | Det: -970
Rows: 2 6 | Cols: 0 2 | Det: 1562
Rows: 2 6 | Cols: 0 3 | Det: 426
Rows: 2 6 | Cols: 0 4 | Det: 956
Rows: 2 6 | Cols: 0 5 | Det: 578
Rows: 2 6 | Cols: 0 6 | Det: -97
Rows: 2 6 | Cols: 0 7 | Det: -210
Rows: 2 6 | Cols: 1 2 | Det: 9582
Rows: 2 6 | Cols: 1 3 | Det: 2966
Rows: 2 6 | Cols: 1 4 | Det: 6606
Rows: 2 6 | Cols: 1 5 | Det: 4548
Rows: 2 6 | Cols: 1 6 | Det: 388
Rows: 2 6 | Cols: 1 7 | Det: 4030
Rows: 2 6 | Cols: 2 3 | Det: -568
Rows: 2 6 | Cols: 2 4 | Det: -1194
Rows: 2 6 | Cols: 2 5 | Det: -1614
Rows: 2 6 | Cols: 2 6 | Det: -1583
Rows: 2 6 | Cols: 2 7 | Det: -8564
Rows: 2 6 | Cols: 3 4 | Det: 22
Rows: 2 6 | Cols: 3 5 | Det: -230
Rows: 2 6 | Cols: 3 6 | Det: -467
Rows: 2 6 | Cols: 3 7 | Det: -2412
Rows: 2 6 | Cols: 4 5 | Det: -546
Rows: 2 6 | Cols: 4 6 | Det: -1043
Rows: 2 6 | Cols: 4 7 | Det: -5402
Rows: 2 6 | Cols: 5 6 | Det: -686
Rows: 2 6 | Cols: 5 7 | Det: -3386
Rows: 2 6 | Cols: 6 7 | Det: 319
Rows: 2 7 | Cols: 0 1 | Det: -6984
Rows: 2 7 | Cols: 0 2 | Det: -1116
Rows: 2 7 | Cols: 0 3 | Det: -954
Rows: 2 7 | Cols: 0 4 | Det: -342
Rows: 2 7 | Cols: 0 5 | Det: -1746
Rows: 2 7 | Cols: 0 6 | Det: 63
Rows: 2 7 | Cols: 0 7 | Det: -6912
Rows: 2 7 | Cols: 1 2 | Det: 1684
Rows: 2 7 | Cols: 1 3 | Det: -538
Rows: 2 7 | Cols: 1 4 | Det: 8226
Rows: 2 7 | Cols: 1 5 | Det: 582
Rows: 2 7 | Cols: 1 6 | Det: 6939
Rows: 2 7 | Cols: 1 7 | Det: -384
Rows: 2 7 | Cols: 2 3 | Det: -316
Rows: 2 7 | Cols: 2 4 | Det: 1232
Rows: 2 7 | Cols: 2 5 | Det: -328
Rows: 2 7 | Cols: 2 6 | Det: 1124
Rows: 2 7 | Cols: 2 7 | Det: -1728
Rows: 2 7 | Cols: 3 4 | Det: 1150
Rows: 2 7 | Cols: 3 5 | Det: 214
Rows: 2 7 | Cols: 3 6 | Det: 943
Rows: 2 7 | Cols: 3 7 | Det: 480
Rows: 2 7 | Cols: 4 5 | Det: -2028
Rows: 2 7 | Cols: 4 6 | Det: 414
Rows: 2 7 | Cols: 4 7 | Det: -8160
Rows: 2 7 | Cols: 5 6 | Det: 1740
Rows: 2 7 | Cols: 5 7 | Det: -672
Rows: 2 7 | Cols: 6 7 | Det: -6864
Rows: 3 4 | Cols: 0 1 | Det: -2102
Rows: 3 4 | Cols: 0 2 | Det: -3450
Rows: 3 4 | Cols: 0 3 | Det: -964
Rows: 3 4 | Cols: 0 4 | Det: -1494
Rows: 3 4 | Cols: 0 5 | Det: 560
Rows: 3 4 | Cols: 0 6 | Det: -878
Rows: 3 4 | Cols: 0 7 | Det: -4448
Rows: 3 4 | Cols: 1 2 | Det: -975
Rows: 3 4 | Cols: 1 3 | Det: 413
Rows: 3 4 | Cols: 1 4 | Det: 446
Rows: 3 4 | Cols: 1 5 | Det: 1849
Rows: 3 4 | Cols: 1 6 | Det: 483
Rows: 3 4 | Cols: 1 7 | Det: -2765
Rows: 3 4 | Cols: 2 3 | Det: 1125
Rows: 3 4 | Cols: 2 4 | Det: 1425
Rows: 3 4 | Cols: 2 5 | Det: 2775
Rows: 3 4 | Cols: 2 6 | Det: 1200
