Processing 3x3 minors...
Matrix size: 8x8
Total minors: 3136
Rows: 0 1 2 | Cols: 0 1 2 | Det: 191294
Rows: 0 1 2 | Cols: 2 3 4 | Det: 80
Rows: 0 1 2 | Cols: 2 3 5 | Det: -2256
Rows: 0 1 2 | Cols: 2 3 6 | Det: -25912
Rows: 0 1 2 | Cols: 2 3 7 | Det: 96832
Rows: 0 1 2 | Cols: 2 4 5 | Det: 3032
Rows: 0 1 2 | Cols: 2 4 6 | Det: 34114
Rows: 0 1 2 | Cols: 2 4 7 | Det: -126924
Rows: 0 1 2 | Cols: 2 5 6 | Det: 20050
Rows: 0 1 2 | Cols: 2 5 7 | Det: -90676
Rows: 0 1 2 | Cols: 2 6 7 | Det: -180902
Rows: 0 1 2 | Cols: 3 4 5 | Det: 4856
Rows: 0 1 2 | Cols: 3 4 6 | Det: 54222
Rows: 0 1 2 | Cols: 3 4 7 | Det: -201652
Rows: 0 1 2 | Cols: 3 5 6 | Det: 43798
Rows: 0 1 2 | Cols: 3 5 7 | Det: -191116
Rows: 0 1 2 | Cols: 3 6 7 | Det: -315226
Rows: 0 1 2 | Cols: 4 5 6 | Det: -15706
Rows: 0 1 2 | Cols: 4 5 7 | Det: 61676
Rows: 0 1 2 | Cols: 4 6 7 | Det: 36460
Rows: 0 1 2 | Cols: 5 6 7 | Det: -61858
Rows: 0 1 3 | Cols: 0 1 2 | Det: 68359
Rows: 0 1 3 | Cols: 0 1 3 | Det: 42878
Rows: 0 1 3 | Cols: 0 1 4 | Det: 62083
Rows: 0 1 3 | Cols: 0 1 5 | Det: 56666
Rows: 0 1 3 | Cols: 0 1 6 | Det: 73315
Rows: 0 1 3 | Cols: 0 1 7 | Det: 72054
Rows: 0 1 3 | Cols: 0 2 3 | Det: 143172
Rows: 0 1 3 | Cols: 0 2 4 | Det: -43958
Rows: 0 1 3 | Cols: 0 2 5 | Det: 81330
Rows: 0 1 3 | Cols: 0 2 6 | Det: 12754
Rows: 0 1 3 | Cols: 0 2 7 | Det: 61454
Rows: 0 1 3 | Cols: 0 3 4 | Det: -157600
Rows: 0 1 3 | Cols: 0 3 5 | Det: -67668
Rows: 0 1 3 | Cols: 0 3 6 | Det: -145552
Rows: 0 1 3 | Cols: 0 3 7 | Det: -112364
Rows: 0 1 3 | Cols: 0 4 5 | Det: 110302
Rows: 0 1 3 | Cols: 0 4 6 | Det: 58728
Rows: 0 1 3 | Cols: 0 4 7 | Det: 102146
Rows: 0 1 3 | Cols: 0 5 6 | Det: -76654
Rows: 0 1 3 | Cols: 0 5 7 | Det: -34784
Rows: 0 1 3 | Cols: 0 6 7 | Det: 52466
Rows: 0 1 3 | Cols: 1 2 3 | Det: 181729
Rows: 0 1 3 | Cols: 1 2 4 | Det: -95306
Rows: 0 1 3 | Cols: 1 2 5 | Det: 43826
Rows: 0 1 3 | Cols: 1 2 6 | Det: -62895
Rows: 0 1 3 | Cols: 1 2 7 | Det: 68681
Rows: 0 1 3 | Cols: 1 3 4 | Det: -224825
Rows: 0 1 3 | Cols: 1 3 5 | Det: -123154
Rows: 0 1 3 | Cols: 1 3 6 | Det: -234355
Rows: 0 1 3 | Cols: 1 3 7 | Det: -148472
Rows: 0 1 3 | Cols: 1 4 5 | Det: 118806
Rows: 0 1 3 | Cols: 1 4 6 | Det: 45095
Rows: 0 1 3 | Cols: 1 4 7 | Det: 162833
Rows: 0 1 3 | Cols: 1 5 6 | Det: -99140
Rows: 0 1 3 | Cols: 1 5 7 | Det: 10738
Rows: 0 1 3 | Cols: 1 6 7 | Det: 139955
Rows: 0 1 3 | Cols: 2 3 4 | Det: -82750
Rows: 0 1 3 | Cols: 2 3 5 | Det: -124422
Rows: 0 1 3 | Cols: 2 3 6 | Det: -165634
Rows: 0 1 3 | Cols: 2 3 7 | Det: -19526
Rows: 0 1 3 | Cols: 2 4 5 | Det: 85208
Rows: 0 1 3 | Cols: 2 4 6 | Det: 58226
Rows: 0 1 3 | Cols: 2 4 7 | Det: 41514
Rows: 0 1 3 | Cols: 2 5 6 | Det: -83006
Rows: 0 1 3 | Cols: 2 5 7 | Det: 42314
Rows: 0 1 3 | Cols: 2 6 7 | Det: 69356
Rows: 0 1 3 | Cols: 3 4 5 | Det: 97850
Rows: 0 1 3 | Cols: 3 4 6 | Det: 98200
Rows: 0 1 3 | Cols: 3 4 7 | Det: -43450
Rows: 0 1 3 | Cols: 3 5 6 | Det: -48206
Rows: 0 1 3 | Cols: 3 5 7 | Det: -88420
Rows: 0 1 3 | Cols: 3 6 7 | Det: -110142
Rows: 0 1 3 | Cols: 4 5 6 | Det: -32266
Rows: 0 1 3 | Cols: 4 5 7 | Det: 93830
Rows: 0 1 3 | Cols: 4 6 7 | Det: 79838
Rows: 0 1 3 | Cols: 5 6 7 | Det: -75382
Rows: 0 1 4 | Cols: 0 1 2 | Det: -6679
Rows: 0 1 4 | Cols: 0 1 3 | Det: -35013
Rows: 0 1 4 | Cols: 0 1 4 | Det: 22722
Rows: 0 1 4 | Cols: 0 1 5 | Det: 3309
Rows: 0 1 4 | Cols: 0 1 6 | Det: 16225
Rows: 0 1 4 | Cols: 0 1 7 | Det: -33039
Rows: 0 1 4 | Cols: 0 2 3 | Det: 169512
Rows: 0 1 4 | Cols: 0 2 4 | Det: -167086
Rows: 0 1 4 | Cols: 0 2 5 | Det: -60606
Rows: 0 1 4 | Cols: 0 2 6 | Det: -140482
Rows: 0 1 4 | Cols: 0 2 7 | Det: 148774
Rows: 0 1 4 | Cols: 0 3 4 | Det: -299226
Rows: 0 1 4 | Cols: 0 3 5 | Det: -233730
Rows: 0 1 4 | Cols: 0 3 6 | Det: -324654
Rows: 0 1 4 | Cols: 0 3 7 | Det: -58614
Rows: 0 1 4 | Cols: 0 4 5 | Det: 123402
Rows: 0 1 4 | Cols: 0 4 6 | Det: 72026
Rows: 0 1 4 | Cols: 0 4 7 | Det: 320394
Rows: 0 1 4 | Cols: 0 5 6 | Det: -77628
Rows: 0 1 4 | Cols: 0 5 7 | Det: 226092
Rows: 0 1 4 | Cols: 0 6 7 | Det: 333512
Rows: 0 1 4 | Cols: 1 2 3 | Det: 164704
Rows: 0 1 4 | Cols: 1 2 4 | Det: -161097
Rows: 0 1 4 | Cols: 1 2 5 | Det: -56643
Rows: 0 1 4 | Cols: 1 2 6 | Det: -132301
Rows: 0 1 4 | Cols: 1 2 7 | Det: 147190
Rows: 0 1 4 | Cols: 1 3 4 | Det: -284187
Rows: 0 1 4 | Cols: 1 3 5 | Det: -215337
Rows: 0 1 4 | Cols: 1 3 6 | Det: -293447
Rows: 0 1 4 | Cols: 1 3 7 | Det: -43134
Rows: 0 1 4 | Cols: 1 4 5 | Det: 112887
Rows: 0 1 4 | Cols: 1 4 6 | Det: 58743
Rows: 0 1 4 | Cols: 1 4 7 | Det: 296157
Rows: 0 1 4 | Cols: 1 5 6 | Det: -72054
Rows: 0 1 4 | Cols: 1 5 7 | Det: 207273
Rows: 0 1 4 | Cols: 1 6 7 | Det: 296891
Rows: 0 1 4 | Cols: 2 3 4 | Det: -31720
Rows: 0 1 4 | Cols: 2 3 5 | Det: -56952
Rows: 0 1 4 | Cols: 2 3 6 | Det: -106504
Rows: 0 1 4 | Cols: 2 3 7 | Det: -66896
Rows: 0 1 4 | Cols: 2 4 5 | Det: 44796
Rows: 0 1 4 | Cols: 2 4 6 | Det: 78692
Rows: 0 1 4 | Cols: 2 4 7 | Det: 93778
Rows: 0 1 4 | Cols: 2 5 6 | Det: -9120
Rows: 0 1 4 | Cols: 2 5 7 | Det: 73902
Rows: 0 1 4 | Cols: 2 6 7 | Det: 148914
Rows: 0 1 4 | Cols: 3 4 5 | Det: 56796
Rows: 0 1 4 | Cols: 3 4 6 | Det: 127252
Rows: 0 1 4 | Cols: 3 4 7 | Det: 107118
Rows: 0 1 4 | Cols: 3 5 6 | Det: 37776
Rows: 0 1 4 | Cols: 3 5 7 | Det: 72546
Rows: 0 1 4 | Cols: 3 6 7 | Det: 91294
Rows: 0 1 4 | Cols: 4 5 6 | Det: -38808
Rows: 0 1 4 | Cols: 4 5 7 | Det: 16638
Rows: 0 1 4 | Cols: 4 6 7 | Det: 110470
Rows: 0 1 4 | Cols: 5 6 7 | Det: 60636
Rows: 0 1 5 | Cols: 0 1 2 | Det: -109758
Rows: 0 1 5 | Cols: 0 1 3 | Det: -105226
Rows: 0 1 5 | Cols: 0 1 4 | Det: -66836
Rows: 0 1 5 | Cols: 0 1 5 | Det: -112717
Rows: 0 1 5 | Cols: 0 1 6 | Det: -89815
Rows: 0 1 5 | Cols: 0 1 7 | Det: -127248
Rows: 0 1 5 | Cols: 0 2 3 | Det: -13296
Rows: 0 1 5 | Cols: 0 2 4 | Det: -124956
Rows: 0 1 5 | Cols: 0 2 5 | Det: -1200
Rows: 0 1 5 | Cols: 0 2 6 | Det: -186576
Rows: 0 1 5 | Cols: 0 2 7 | Det: -29868
Rows: 0 1 5 | Cols: 0 3 4 | Det: -111700
Rows: 0 1 5 | Cols: 0 3 5 | Det: 12504
Rows: 0 1 5 | Cols: 0 3 6 | Det: -167992
Rows: 0 1 5 | Cols: 0 3 7 | Det: -13220
Rows: 0 1 5 | Cols: 0 4 5 | Det: 127594
Rows: 0 1 5 | Cols: 0 4 6 | Det: -11362
Rows: 0 1 5 | Cols: 0 4 7 | Det: 126680
Rows: 0 1 5 | Cols: 0 5 6 | Det: -190624
Rows: 0 1 5 | Cols: 0 5 7 | Det: -29282
Rows: 0 1 5 | Cols: 0 6 7 | Det: 191866
Rows: 0 1 5 | Cols: 1 2 3 | Det: -76432
Rows: 0 1 5 | Cols: 1 2 4 | Det: -41402
Rows: 0 1 5 | Cols: 1 2 5 | Det: 58283
Rows: 0 1 5 | Cols: 1 2 6 | Det: -64171
Rows: 0 1 5 | Cols: 1 2 7 | Det: -41862
Rows: 0 1 5 | Cols: 1 3 4 | Det: 6850
Rows: 0 1 5 | Cols: 1 3 5 | Det: 134369
Rows: 0 1 5 | Cols: 1 3 6 | Det: 1023
Rows: 0 1 5 | Cols: 1 3 7 | Det: 48478
Rows: 0 1 5 | Cols: 1 4 5 | Det: 78009
Rows: 0 1 5 | Cols: 1 4 6 | Det: -5197
Rows: 0 1 5 | Cols: 1 4 7 | Det: 22508
Rows: 0 1 5 | Cols: 1 5 6 | Det: -113594
Rows: 0 1 5 | Cols: 1 5 7 | Det: -110561
Rows: 0 1 5 | Cols: 1 6 7 | Det: 40141
Rows: 0 1 5 | Cols: 2 3 4 | Det: 82000
Rows: 0 1 5 | Cols: 2 3 5 | Det: 7896
Rows: 0 1 5 | Cols: 2 3 6 | Det: 122152
Rows: 0 1 5 | Cols: 2 3 7 | Det: 15728
Rows: 0 1 5 | Cols: 2 4 5 | Det: 66806
Rows: 0 1 5 | Cols: 2 4 6 | Det: -2678
Rows: 0 1 5 | Cols: 2 4 7 | Det: -36392
Rows: 0 1 5 | Cols: 2 5 6 | Det: -99776
Rows: 0 1 5 | Cols: 2 5 7 | Det: -16318
Rows: 0 1 5 | Cols: 2 6 7 | Det: -53698
Rows: 0 1 5 | Cols: 3 4 5 | Det: 143450
Rows: 0 1 5 | Cols: 3 4 6 | Det: -9850
Rows: 0 1 5 | Cols: 3 4 7 | Det: 50600
Rows: 0 1 5 | Cols: 3 5 6 | Det: -214640
Rows: 0 1 5 | Cols: 3 5 7 | Det: -22642
Rows: 0 1 5 | Cols: 3 6 7 | Det: 77266
Rows: 0 1 5 | Cols: 4 5 6 | Det: -3340
Rows: 0 1 5 | Cols: 4 5 7 | Det: 104888
Rows: 0 1 5 | Cols: 4 6 7 | Det: -6024
Rows: 0 1 5 | Cols: 5 6 7 | Det: -157468
Rows: 0 1 6 | Cols: 0 1 2 | Det: 26798
Rows: 0 1 6 | Cols: 0 1 3 | Det: -1584
Rows: 0 1 6 | Cols: 0 1 4 | Det: 20706
Rows: 0 1 6 | Cols: 0 1 5 | Det: 9132
Rows: 0 1 6 | Cols: 0 1 6 | Det: -5885
Rows: 0 1 6 | Cols: 0 1 7 | Det: 3988
Rows: 0 1 6 | Cols: 0 2 3 | Det: 165624
Rows: 0 1 6 | Cols: 0 2 4 | Det: 4388
Rows: 0 1 6 | Cols: 0 2 5 | Det: 109764
Rows: 0 1 6 | Cols: 0 2 6 | Det: 211136
Rows: 0 1 6 | Cols: 0 2 7 | Det: 168508
Rows: 0 1 6 | Cols: 0 3 4 | Det: -128232
Rows: 0 1 6 | Cols: 0 3 5 | Det: -62928
Rows: 0 1 6 | Cols: 0 3 6 | Det: 23892
Rows: 0 1 6 | Cols: 0 3 7 | Det: -34608
Rows: 0 1 6 | Cols: 0 4 5 | Det: 83316
Rows: 0 1 6 | Cols: 0 4 6 | Det: 164102
Rows: 0 1 6 | Cols: 0 4 7 | Det: 129548
Rows: 0 1 6 | Cols: 0 5 6 | Det: 96054
Rows: 0 1 6 | Cols: 0 5 7 | Det: 41088
Rows: 0 1 6 | Cols: 0 6 7 | Det: -68426
Rows: 0 1 6 | Cols: 1 2 3 | Det: 180118
Rows: 0 1 6 | Cols: 1 2 4 | Det: -15864
Rows: 0 1 6 | Cols: 1 2 5 | Det: 94620
Rows: 0 1 6 | Cols: 1 2 6 | Det: 180311
Rows: 0 1 6 | Cols: 1 2 7 | Det: 170522
Rows: 0 1 6 | Cols: 1 3 4 | Det: -138234
Rows: 0 1 6 | Cols: 1 3 5 | Det: -66972
Rows: 0 1 6 | Cols: 1 3 6 | Det: 28897
Rows: 0 1 6 | Cols: 1 3 7 | Det: -36884
Rows: 0 1 6 | Cols: 1 4 5 | Det: 78516
Rows: 0 1 6 | Cols: 1 4 6 | Det: 135837
Rows: 0 1 6 | Cols: 1 4 7 | Det: 134118
Rows: 0 1 6 | Cols: 1 5 6 | Det: 82224
Rows: 0 1 6 | Cols: 1 5 7 | Det: 44028
Rows: 0 1 6 | Cols: 1 6 7 | Det: -64281
Rows: 0 1 6 | Cols: 2 3 4 | Det: -127540
Rows: 0 1 6 | Cols: 2 3 5 | Det: -152964
Rows: 0 1 6 | Cols: 2 3 6 | Det: -304708
Rows: 0 1 6 | Cols: 2 3 7 | Det: -78692
Rows: 0 1 6 | Cols: 2 4 5 | Det: 80472
Rows: 0 1 6 | Cols: 2 4 6 | Det: 154514
Rows: 0 1 6 | Cols: 2 4 7 | Det: 127676
Rows: 0 1 6 | Cols: 2 5 6 | Det: -6942
Rows: 0 1 6 | Cols: 2 5 7 | Det: 103476
Rows: 0 1 6 | Cols: 2 6 7 | Det: 209698
Rows: 0 1 6 | Cols: 3 4 5 | Det: 69972
Rows: 0 1 6 | Cols: 3 4 6 | Det: 254314
Rows: 0 1 6 | Cols: 3 4 7 | Det: 34276
Rows: 0 1 6 | Cols: 3 5 6 | Det: 137838
Rows: 0 1 6 | Cols: 3 5 7 | Det: -2064
Rows: 0 1 6 | Cols: 3 6 7 | Det: -75022
Rows: 0 1 6 | Cols: 4 5 6 | Det: -75690
Rows: 0 1 6 | Cols: 4 5 7 | Det: 48420
Rows: 0 1 6 | Cols: 4 6 7 | Det: 213060
Rows: 0 1 6 | Cols: 5 6 7 | Det: 93150
Rows: 0 1 7 | Cols: 0 1 2 | Det: -52343
Rows: 0 1 7 | Cols: 0 1 3 | Det: -79376
Rows: 0 1 7 | Cols: 0 1 4 | Det: 10759
Rows: 0 1 7 | Cols: 0 1 5 | Det: -40342
Rows: 0 1 7 | Cols: 0 1 6 | Det: -4400
Rows: 0 1 7 | Cols: 0 1 7 | Det: -61043
Rows: 0 1 7 | Cols: 0 2 3 | Det: 167460
Rows: 0 1 7 | Cols: 0 2 4 | Det: -313394
Rows: 0 1 7 | Cols: 0 2 5 | Det: -80418
Rows: 0 1 7 | Cols: 0 2 6 | Det: -317774
Rows: 0 1 7 | Cols: 0 2 7 | Det: -12106
Rows: 0 1 7 | Cols: 0 3 4 | Det: -440828
Rows: 0 1 7 | Cols: 0 3 5 | Det: -251016
Rows: 0 1 7 | Cols: 0 3 6 | Det: -495968
Rows: 0 1 7 | Cols: 0 3 7 | Det: -213652
Rows: 0 1 7 | Cols: 0 4 5 | Det: 258070
Rows: 0 1 7 | Cols: 0 4 6 | Det: 91662
Rows: 0 1 7 | Cols: 0 4 7 | Det: 367972
Rows: 0 1 7 | Cols: 0 5 6 | Det: -238156
Rows: 0 1 7 | Cols: 0 5 7 | Det: 84454
Rows: 0 1 7 | Cols: 0 6 7 | Det: 369574
Rows: 0 1 7 | Cols: 1 2 3 | Det: 136365
Rows: 0 1 7 | Cols: 1 2 4 | Det: -272108
Rows: 0 1 7 | Cols: 1 2 5 | Det: -51598
Rows: 0 1 7 | Cols: 1 2 6 | Det: -258102
Rows: 0 1 7 | Cols: 1 2 7 | Det: -17838
Rows: 0 1 7 | Cols: 1 3 4 | Det: -384611
Rows: 0 1 7 | Cols: 1 3 5 | Det: -183346
Rows: 0 1 7 | Cols: 1 3 6 | Det: -402864
Rows: 0 1 7 | Cols: 1 3 7 | Det: -186081
Rows: 0 1 7 | Cols: 1 4 5 | Det: 220326
Rows: 0 1 7 | Cols: 1 4 6 | Det: 75926
Rows: 0 1 7 | Cols: 1 4 7 | Det: 321002
Rows: 0 1 7 | Cols: 1 5 6 | Det: -194588
Rows: 0 1 7 | Cols: 1 5 7 | Det: 46426
Rows: 0 1 7 | Cols: 1 6 7 | Det: 299502
Rows: 0 1 7 | Cols: 2 3 4 | Det: 54090
Rows: 0 1 7 | Cols: 2 3 5 | Det: -44430
Rows: 0 1 7 | Cols: 2 3 6 | Det: -2130
Rows: 0 1 7 | Cols: 2 3 7 | Det: 25530
Rows: 0 1 7 | Cols: 2 4 5 | Det: 109124
Rows: 0 1 7 | Cols: 2 4 6 | Det: 106628
Rows: 0 1 7 | Cols: 2 4 7 | Det: -43868
Rows: 0 1 7 | Cols: 2 5 6 | Det: -83288
Rows: 0 1 7 | Cols: 2 5 7 | Det: -15472
Rows: 0 1 7 | Cols: 2 6 7 | Det: -48600
Rows: 0 1 7 | Cols: 3 4 5 | Det: 198038
Rows: 0 1 7 | Cols: 3 4 6 | Det: 165806
Rows: 0 1 7 | Cols: 3 4 7 | Det: 1804
Rows: 0 1 7 | Cols: 3 5 6 | Det: -128396
Rows: 0 1 7 | Cols: 3 5 7 | Det: -94954
Rows: 0 1 7 | Cols: 3 6 7 | Det: -78330
Rows: 0 1 7 | Cols: 4 5 6 | Det: -55888
Rows: 0 1 7 | Cols: 4 5 7 | Det: 164252
Rows: 0 1 7 | Cols: 4 6 7 | Det: 138028
Rows: 0 1 7 | Cols: 5 6 7 | Det: -133288
Rows: 0 2 3 | Cols: 0 1 2 | Det: -125294
Rows: 0 2 3 | Cols: 0 1 3 | Det: -188546
Rows: 0 2 3 | Cols: 0 1 4 | Det: -92700
Rows: 0 2 3 | Cols: 0 1 5 | Det: -184110
Rows: 0 2 3 | Cols: 0 1 6 | Det: -155685
Rows: 0 2 3 | Cols: 0 1 7 | Det: -233666
Rows: 0 2 3 | Cols: 0 2 3 | Det: 30118
Rows: 0 2 3 | Cols: 0 2 4 | Det: 24458
Rows: 0 2 3 | Cols: 0 2 5 | Det: 64430
Rows: 0 2 3 | Cols: 0 2 6 | Det: 33311
Rows: 0 2 3 | Cols: 0 2 7 | Det: 157666
Rows: 0 2 3 | Cols: 0 3 4 | Det: 14522
Rows: 0 2 3 | Cols: 0 3 5 | Det: 52700
Rows: 0 2 3 | Cols: 0 3 6 | Det: 12704
Rows: 0 2 3 | Cols: 0 3 7 | Det: 181092
Rows: 0 2 3 | Cols: 0 4 5 | Det: 11730
Rows: 0 2 3 | Cols: 0 4 6 | Det: -5745
Rows: 0 2 3 | Cols: 0 4 7 | Det: 71038
Rows: 0 2 3 | Cols: 0 5 6 | Det: -31110
Rows: 0 2 3 | Cols: 0 5 7 | Det: 111520
Rows: 0 2 3 | Cols: 0 6 7 | Det: 133786
Rows: 0 2 3 | Cols: 1 2 3 | Det: 289942
Rows: 0 2 3 | Cols: 1 2 4 | Det: 55180
Rows: 0 2 3 | Cols: 1 2 5 | Det: 374372
Rows: 0 2 3 | Cols: 1 2 6 | Det: 236010
Rows: 0 2 3 | Cols: 1 2 7 | Det: 449798
Rows: 0 2 3 | Cols: 1 3 4 | Det: -131480
Rows: 0 2 3 | Cols: 1 3 5 | Det: 137318
Rows: 0 2 3 | Cols: 1 3 6 | Det: -5115
Rows: 0 2 3 | Cols: 1 3 7 | Det: 136144
Rows: 0 2 3 | Cols: 1 4 5 | Det: 195900
Rows: 0 2 3 | Cols: 1 4 6 | Det: 106050
Rows: 0 2 3 | Cols: 1 4 7 | Det: 229880
Rows: 0 2 3 | Cols: 1 5 6 | Det: -118380
Rows: 0 2 3 | Cols: 1 5 7 | Det: -37238
Rows: 0 2 3 | Cols: 1 6 7 | Det: 118755
Rows: 0 2 3 | Cols: 2 3 4 | Det: 43334
Rows: 0 2 3 | Cols: 2 3 5 | Det: 59106
Rows: 0 2 3 | Cols: 2 3 6 | Det: 20353
Rows: 0 2 3 | Cols: 2 3 7 | Det: 256732
Rows: 0 2 3 | Cols: 2 4 5 | Det: -44704
Rows: 0 2 3 | Cols: 2 4 6 | Det: -31400
Rows: 0 2 3 | Cols: 2 4 7 | Det: -18366
Rows: 0 2 3 | Cols: 2 5 6 | Det: -21832
Rows: 0 2 3 | Cols: 2 5 7 | Det: 239798
Rows: 0 2 3 | Cols: 2 6 7 | Det: 177403
Rows: 0 2 3 | Cols: 3 4 5 | Det: -47326
Rows: 0 2 3 | Cols: 3 4 6 | Det: -8465
Rows: 0 2 3 | Cols: 3 4 7 | Det: -136768
Rows: 0 2 3 | Cols: 3 5 6 | Det: 10682
Rows: 0 2 3 | Cols: 3 5 7 | Det: 93836
Rows: 0 2 3 | Cols: 3 6 7 | Det: -14086
Rows: 0 2 3 | Cols: 4 5 6 | Det: -25560
Rows: 0 2 3 | Cols: 4 5 7 | Det: 121034
Rows: 0 2 3 | Cols: 4 6 7 | Det: 95515
Rows: 0 2 3 | Cols: 5 6 7 | Det: -77998
Rows: 0 2 4 | Cols: 0 1 2 | Det: -431208
Rows: 0 2 4 | Cols: 0 1 3 | Det: -500280
Rows: 0 2 4 | Cols: 0 1 4 | Det: -272912
Rows: 0 2 4 | Cols: 0 1 5 | Det: -422920
Rows: 0 2 4 | Cols: 0 1 6 | Det: -411216
Rows: 0 2 4 | Cols: 0 1 7 | Det: -658760
Rows: 0 2 4 | Cols: 0 2 3 | Det: -16800
Rows: 0 2 4 | Cols: 0 2 4 | Det: 46792
Rows: 0 2 4 | Cols: 0 2 5 | Det: 50960
Rows: 0 2 4 | Cols: 0 2 6 | Det: 13665
Rows: 0 2 4 | Cols: 0 2 7 | Det: 424756
Rows: 0 2 4 | Cols: 0 3 4 | Det: 64920
Rows: 0 2 4 | Cols: 0 3 5 | Det: 75600
Rows: 0 2 4 | Cols: 0 3 6 | Det: 31875
Rows: 0 2 4 | Cols: 0 3 7 | Det: 518460
Rows: 0 2 4 | Cols: 0 4 5 | Det: -13640
Rows: 0 2 4 | Cols: 0 4 6 | Det: -35974
Rows: 0 2 4 | Cols: 0 4 7 | Det: 197344
Rows: 0 2 4 | Cols: 0 5 6 | Det: -35195
Rows: 0 2 4 | Cols: 0 5 7 | Det: 338740
Rows: 0 2 4 | Cols: 0 6 7 | Det: 384187
Rows: 0 2 4 | Cols: 1 2 3 | Det: 176928
Rows: 0 2 4 | Cols: 1 2 4 | Det: -64864
Rows: 0 2 4 | Cols: 1 2 5 | Det: 124504
Rows: 0 2 4 | Cols: 1 2 6 | Det: 124053
Rows: 0 2 4 | Cols: 1 2 7 | Det: 744740
Rows: 0 2 4 | Cols: 1 3 4 | Det: -187232
Rows: 0 2 4 | Cols: 1 3 5 | Det: -29080
Rows: 0 2 4 | Cols: 1 3 6 | Det: -24801
Rows: 0 2 4 | Cols: 1 3 7 | Det: 593740
Rows: 0 2 4 | Cols: 1 4 5 | Det: 142416
Rows: 0 2 4 | Cols: 1 4 6 | Det: 140370
Rows: 0 2 4 | Cols: 1 4 7 | Det: 570440
Rows: 0 2 4 | Cols: 1 5 6 | Det: 2937
Rows: 0 2 4 | Cols: 1 5 7 | Det: 540220
Rows: 0 2 4 | Cols: 1 6 7 | Det: 520695
Rows: 0 2 4 | Cols: 2 3 4 | Det: 16672
Rows: 0 2 4 | Cols: 2 3 5 | Det: 25760
Rows: 0 2 4 | Cols: 2 3 6 | Det: 10440
Rows: 0 2 4 | Cols: 2 3 7 | Det: 203296
Rows: 0 2 4 | Cols: 2 4 5 | Det: -21176
Rows: 0 2 4 | Cols: 2 4 6 | Det: -15517
Rows: 0 2 4 | Cols: 2 4 7 | Det: -144708
Rows: 0 2 4 | Cols: 2 5 6 | Det: -10715
Rows: 0 2 4 | Cols: 2 5 7 | Det: 34628
Rows: 0 2 4 | Cols: 2 6 7 | Det: 98596
Rows: 0 2 4 | Cols: 3 4 5 | Det: -24520
Rows: 0 2 4 | Cols: 3 4 6 | Det: -8711
Rows: 0 2 4 | Cols: 3 4 7 | Det: -271084
Rows: 0 2 4 | Cols: 3 5 6 | Det: 1895
Rows: 0 2 4 | Cols: 3 5 7 | Det: -119860
Rows: 0 2 4 | Cols: 3 6 7 | Det: -63532
Rows: 0 2 4 | Cols: 4 5 6 | Det: -11757
Rows: 0 2 4 | Cols: 4 5 7 | Det: 131492
Rows: 0 2 4 | Cols: 4 6 7 | Det: 176695
Rows: 0 2 4 | Cols: 5 6 7 | Det: 47309
